 kevin_H_investment_amount ,kevin_h_equity_amount,start up name,multiple sharks,barbara_deal,mark_deal,lori_deal,robert_deal,daymond_deal,kevin_deal
" $250,000 ",25,A Perfect Pear,1,0,0,0,1,0,0
" $200,000 ",50,Caffeindicator,0,0,0,0,0,0,0
" $150,000 ",30,Element Bars,0,0,0,0,0,0,0
" $100,000 ",26,Nubrella,1,0,0,0,0,1,0
" $100,000 ",20,CitiKitty,0,0,0,0,0,0,0
" $90,000 ",25,Body Jac,1,1,0,0,0,0,0
" $90,000 ",23,Aldo Orta Jewelry,1,1,0,0,0,0,0
" $50,000 ",25,Fridge Fronts,1,1,0,0,0,0,0
" $50,000 ",20,Classroom James,1,1,0,0,1,1,1
" $40,000 ",13,Sweep Easy,1,0,0,0,0,1,0
" $35,000 ",100,Turbo Baster,0,0,0,0,0,0,0
" $35,000 ",17,Lipstix Remix,1,1,0,0,0,1,0
" $25,000 ",70,Uroclub,0,0,0,0,0,0,0
