,season_number,episode_number,startup_name,pitch_order
0,1,1,AvaTheElephant,
1,1,1,Mr.Tod'sPieFactory,
2,1,1,Wispots,
3,1,1,CollegeFoxesPackingBoxes,
4,1,1,IonicEar,
5,1,2,APerfectPear,
6,1,2,ClassroomJams,
7,1,2,Lifebelt,
8,1,2,CrookedJaw,
9,1,2,StickyNoteHolder,
10,1,3,TurboBaster,
11,1,3,StressFreeKids,
12,1,3,KwyztaChopstickArt,
13,1,3,50StateCapitalsin50Minutes,
14,1,3,VoyageAirGuitar,
15,1,4,GiftCardRescue,
16,1,4,Coverplay,
17,1,4,GraffitiRemovalServices,
18,1,4,SoulsCalling,
19,1,4,CoffeeBrandGifts,
20,1,5,MyTherapyJournal,
21,1,5,BodyJac,
22,1,5,GoodGriefCelebrations,
23,1,5,GranolaGourmet,
24,1,5,FaceBlok,
25,1,6,PorkBarrelBBQSauce,
26,1,6,ElementBars,
27,1,6,UndereaseUnderwear,
28,1,6,KalyxTechnologies,
29,1,6,TheFizz,
30,1,7,Soy-Yer-Dough,
31,1,7,GrillCharmsSet,
32,1,7,BoogieBoxFitness,
33,1,7,TheFunhouseProject,
34,1,8,TreasureChestPets,
35,1,8,Notehall,
36,1,8,Throx,
37,1,8,WashedUpHollywood,
38,1,9,GaylaBentleyFashion,
39,1,9,ChillSoda,
40,1,9,CornucopiaExpress,
41,1,9,VirtuSphere,
42,1,10,TheUROClub,
43,1,10,JumpForward,
44,1,10,TheBobblePlace,
45,1,10,Mr.Poncho,
46,1,11,HellsBellsHelmets,
47,1,11,ChefInBlack,
48,1,11,InkFlip,
49,1,11,RompN'Roll,
50,1,11,TheTwister,
51,1,12,GreaseMonkeyWipes,
52,1,12,WeeCanShop,
53,1,12,Podillow,
54,1,12,TheFactionist,
55,1,13,Caffeindicator,
56,1,13,LipstickRemix,
57,1,13,LegalGrind,
58,1,13,CaptainIceCream,
59,1,14,Nubrella,
60,1,14,Qubits,
61,1,14,SendABall,
62,1,14,PillarsOfSlippers,
63,1,14,LlamaBrew,
64,2,1,WurkinStiffs,
65,2,1,TippiToes,
66,2,1,CBSFoods,
67,2,1,CopadiVino,
68,2,2,Toygaroo,
69,2,2,FirstDefenseNasalScreen,
70,2,2,Vurtego,
71,2,2,Waken'Bacon,
72,2,3,ModMomFurniture,
73,2,3,Flipoutz,
74,2,3,FitnessStride,
75,2,3,PureAyre,
76,2,4,BroccoliWad,
77,2,4,HillbillyBrand,
78,2,4,Ride-OnCarry-On,
79,2,4,UncleZip'sBeefJerky,
80,2,5,Lightfilm,
81,2,5,FridgeFronts,
82,2,5,NewEraBrands,
83,2,5,ThinGloss,
84,2,6,SweepEasy,
85,2,6,DaisyCakes,
86,2,6,HotMamaGowns,
87,2,6,CaddySwag,
88,2,7,Hydromax,
89,2,7,CarsikBib,
90,2,7,Ecomowers,
91,2,7,Games2U,
92,2,8,HyConn,
93,2,8,Origaudio,
94,2,8,ManCandle,
95,2,8,OriginalRunnerCompany,
96,2,9,AldoOrtaJewelry,
97,2,9,OneSole,
98,2,9,CitiKitty,
99,2,9,SamsonMartin,
100,3,1,EZVIP,
